date,a,b,c,d,e,f,g,h,j,k,l,m,open
2015/3/19,12975,216.7,171.7,6.1961,50.17,113530,12116.67,383180,8000,214.75,118.59,8000,12970
2015/3/20,12910,215.4,171.3,6.2062,49.93,113620,12110,480854,8000,212.9,116.59,8000,12855
2015/3/23,13245,211.4,172,6.216,50.3,113920,12163.33,684540,8000,214,117.34,8000,13350
2015/3/24,13510,212.5,173,6.2053,50.92,113920,12193.33,632650,8000,214.55,118.99,8000,13405
2015/3/25,13335,216.5,172.5,6.2125,50.83,114920,12206.67,490456,8000,213.2,118.96,8000,13300
2015/3/26,13550,216,173.4,6.2124,54.55,114990,12226.67,570796,8000,212.55,118.94,8000,13550
2015/3/27,13270,213,171.1,6.2167,52.93,114990,12233.33,635536,8000,213.65,118.75,8000,13260
2015/3/30,13275,209.8,170.5,6.2077,51.45,114190,12203.33,460912,8000,212.5,117.73,8000,13275
2015/3/31,13255,208,169.4,6.1996,51.06,114190,12183.33,433600,8000,210.8,116.8,8000,13215
2015/4/1,13050,206.6,171.7,6.198,52.48,114190,12176.67,383706,8000,199.7,116.63,8000,13050
2015/4/2,13050,206.4,172,6.197,52.93,115430,12176.67,447954,8000,199.7,118.01,8000,13050
2015/4/3,12920,207.5,201.3327889,6.195,53.1,113430,12163.33,387696,8000,196.5,118.01,8000,12920
2015/4/7,12895,207.9,168.2,6.1983,54.61,113400,12163.33,292190,8000,197.35,117.33,8000,12895
2015/4/8,12715,204.9,167.3,6.2032,54.28,113400,12130,502188,8000,195.75,116.4,8000,12635
2015/4/9,12635,199.9,165,6.206,53.52,113400,12130,483476,8000,192.75,115.87,8000,12635
2015/4/10,12390,199.4,165.3,6.208,54.04,106550,12110,309848,8000,191.6,115.31,8000,12400
2015/4/13,12390,201.1,166.5,6.2167,55.86,107530,12110,471128,8100,189.15,113.98,8100,12390
2015/4/14,12690,198.2,165.3,6.2118,55.91,104730,12120,368034,8100,189.15,113.02,8100,12680
2015/4/15,12755,199.8,166,6.2052,57.01,104730,12126.67,413098,8100,189.2,112.49,8100,12800
2015/4/16,12970,199.5,166.9,6.1967,58.88,103750,12126.67,429126,8100,189.2,113.13,8100,12990
2015/4/17,12955,198.7,166.5,6.1978,59.52,102790,12140,481686,8100,189.25,113.75,8100,12930
2015/4/20,12910,197.1,166.7,6.2015,59.5,100890,12146.67,337134,8100,189.4,112.8,8100,12880
2015/4/21,12970,202.5,169.7,6.2016,58.84,99480,12173.33,692496,8100,189.15,112.44,8100,13040
2015/4/22,13040,205,170,6.195,58.09,99370,12226.67,436448,8100,190.25,112.73,8100,13015
2015/4/23,13065,207,172,6.198,59.14,99120,12226.67,631006,8100,189.9,113.22,8100,13055
2015/4/24,13040,205.2,172.2,6.195,60.95,99120,12260,377422,8100,190.85,113.82,8100,13080
2015/4/27,13500,210.9,176.5,6.2206,61.06,99910,12246.67,639548,8100,190.2,115.25,8100,13820
2015/4/28,13970,212.8,177.5,6.2057,60.41,99660,12433.33,822904,8100,193.45,116.71,8100,13835
2015/4/29,13740,213.0924094,178.1,6.1997,60.92,97670,12546.67,689906,8100,193.8,116.96,8100,13670
2015/4/30,13945,213.7,179,6.2028,62.21,100190,12700,721608,8100,192.05,117.16,8100,14010
2015/5/4,14440,213.0924094,184.5,6.209,62.85,98250,12860,715928,8100,196.6,116.68,8100,14520
2015/5/5,14500,213.0924094,184.5,6.2062,63.62,97350,13006.67,636446,8100,198.35,116.68,8100,14555
2015/5/6,14530,213.0924094,185.4,6.2007,64.96,97630,13053.33,725040,8100,199.55,118.11,8100,14515
2015/5/7,14475,214.1,185.4,6.2069,63.98,97040,13073.33,778868,8100,198.05,120.45,8100,14260
2015/5/8,14285,214.4,183.7,6.2094,62.44,98210,12966.67,667828,8100,195.95,119.69,8100,14240
2015/5/11,14220,215.5,184,6.2096,62.03,100590,13013.33,591510,8100,195,121.29,8100,14220
2015/5/12,14170,214,184.2,6.2092,62.49,100460,13006.67,584594,8100,193.9,121.32,8100,14250
2015/5/13,14230,214,184.2,6.2044,63.77,100460,13013.33,562078,8100,193.95,122.98,8100,14190
2015/5/14,13710,210.7,182,6.2012,63.13,102020,12993.33,607088,8100,194.25,123.41,8100,13720
2015/5/15,13800,212,182.3,6.2061,62.74,102900,12933.33,446830,8100,195.05,124.57,8100,13800
2015/5/18,14120,213.5,201.3327889,6.2043,62.98,103000,12960,574426,8100,195.9,125.21,8100,14160
2015/5/19,14040,211,183.8,6.2066,61.11,102900,12963.33,469908,8100,196.25,125.53,8100,13995
2015/5/20,13600,207,181.9,6.2038,60.91,102900,12863.33,729316,8100,195.7,126.23,8100,13475
2015/5/21,13555,208.4,182,6.1968,61.86,102890,12843.33,481100,8100,196.25,129.76,8100,13520
2015/5/22,13630,207.3,182,6.1976,62.03,104990,12820,490804,8100,196.6,131.91,8100,13635
2015/5/25,13550,209.8,184.5,6.202,61.18,105480,12773.33,481642,8100,196.45,132.11,8100,13645
2015/5/26,14140,220.1,185.1,6.204,60.73,105680,12766.67,806198,8100,196.455,132.54,8100,14090
2015/5/27,14070,223.2,187,6.2014,60.43,105890,12786.67,606868,8100,197.05,133.34,8100,14065
2015/5/28,14490,226,186,6.2012,59.33,106390,12806.67,979256,8100,197.95,134.88,8100,14270
2015/5/29,14410,229.9,189.3,6.1985,60.47,106390,12880,815836,8100,199.2,133.65,8100,14500
2015/6/1,14785,231.3,201.3327889,6.1995,60.46,106690,12953.33,970732,8100,201.25,135.95,8100,14535
2015/6/2,14370,229,188.5,6.1984,62.26,108030,12960,856538,8100,202.1,137.36,8100,14285
2015/6/3,14310,229,189.3,6.1976,61.49,108150,12900,715504,8100,202.8,140.37,8100,14165
2015/6/4,14000,226.3,190.5,6.201,59.61,108150,12893.33,819214,8100,202.55,140.66,8100,14250
2015/6/5,14120,227.4,187.2,6.2034,58.61,109720,12906.67,702930,8100,203.45,140.16,8100,14100
2015/6/8,14160,226.2,186.5,6.2056,59.42,109720,12906.67,577672,8100,202.8,138.07,8100,14105
2015/6/9,14155,223.9,187,6.2057,60.27,110120,12900,533676,8100,203.35,137.63,8100,14100
2015/6/10,14135,221.9,188,6.2061,62.41,110120,12900,495650,8100,205.05,137.44,8100,14105
2015/6/11,14070,224.5,189,6.2065,62.14,109620,12880,580210,8100,205.8,137.95,8100,14060
2015/6/12,14070,219,184.9,6.2081,61.17,110260,12846.67,663448,8100,205.35,137.5,8100,14070
2015/6/15,13525,216.3,183.5,6.209,60.17,111480,12833.33,482766,8100,205.2,135.76,8100,13525
2015/6/16,14145,216.4,183.1,6.2084,60.08,112370,12813.33,562004,8100,206.55,135.93,8100,14600
2015/6/17,13815,217,182.8,6.2096,60.27,112370,12773.33,584224,8100,207.45,135.57,8100,13845
2015/6/18,13580,216.3,181.3,6.2075,60.56,112370,12766.67,582266,8100,208.3,134.78,8100,13520
2015/6/19,13550,215.6,182,6.2095,59.98,112370,12753.33,491444,8100,208.4,135.02,8100,13550
2015/6/23,13690,216,181.8,6.2068,59.96,113670,12740,359292,8100,207.4,132.02,8100,13720
2015/6/24,13735,216,181.9,6.2071,60.68,113740,12740,344426,8100,206.55,131.18,8100,13700
2015/6/25,13380,215.5,178.2,6.2094,59.58,117710,12720,606166,8100,205.95,130.08,8100,13295
2015/6/26,13235,214.4,175.2,6.209,59.14,118450,12720,561064,8100,205.2,128.74,8100,13235
2015/6/29,13340,210,173,6.2087,58.24,118750,12713.33,516938,8100,203.4,127.18,8100,13035
2015/6/30,12535,205,168.2,6.201,58.79,118450,12620,781054,8100,203.1,125.71,8100,12535
2015/7/1,12890,206.7,170,6.2011,59.81,119050,12600,615254,8100,202.75,125.37,8100,13000
2015/7/2,13035,207.3,171,6.2049,59.31,120850,12600,477830,8100,203.55,122.31,8100,13195
2015/7/3,13530,205.3,170.7,6.2057,58.35,121250,12600,573492,8100,203.5,121.04,8100,13530
2015/7/6,12765,202.6,167,6.2092,55.79,121150,12513.33,669796,8100,200.55,116.2,8100,12715
2015/7/7,12600,201.1,166.7,6.21,54.25,121740,12443.33,677838,8100,200.4,116.29,8100,12450
2015/7/8,11920,190.2,201.3327889,6.2094,53.78,123200,12376.67,203486,8100,196.65,115.91,8100,11840
2015/7/9,12135,196.2,164,6.2088,55.54,123240,12330,1356906,8100,196.85,116.27,8100,12000
2015/7/10,11960,197,164,6.2092,55.99,123530,12230,1021714,8100,197.25,116.87,8100,12130
2015/7/13,11960,192,163.5,6.2084,55.23,123980,12230,676754,8100,196.85,115.12,8100,11960
2015/7/14,11960,193,162,6.2089,54.55,123800,12156.67,682916,8100,196.85,114.84,8100,11960
2015/7/15,12030,194,163,6.2092,54.94,124260,12090,524614,8100,196.4,115.45,8100,12030
2015/7/16,12115,199,165.5,6.2095,54.23,124310,12063.33,898726,8100,196.1,116.04,8100,12180
2015/7/17,12145,199.7,201.3327889,6.2095,53.99,125030,12010,552272,8100,196.1,116.04,8100,12095
2015/7/20,12145,213.0924094,166,6.2097,53.79,124810,11970,590670,8100,195.9,116.44,8100,12145
2015/7/21,12325,200.8,168,6.2096,53.57,125300,11963.33,571478,8100,196.4,117.04,8100,12255
